acid,epoxide,predicted_tg,dynamic_density
Cc1cc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)c(C)n1C,NC(=O)NCCCCCC(=O)N(CC1CO1)CC1CO1,359.10215306027845,0.08163265306122448
O=C(O)CCN(CCC(=O)O)C(=O)Nc1ccc(Cn2ccnc2)cn1,Cc1cc(NC(=O)CCC2CO2)ccc1NC(=O)CCC1CO1,358.82536313323413,0.08163265306122448
Cc1ccc(C(=O)O)cc1NC(=O)NCC1(C(=O)O)CCOCC1,O=C(C(=O)N(Cc1ccccc1)CC1CO1)N1CCC(C2CO2)CC1,355.2444061392926,0.08163265306122448
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,O=C(OCCCc1ccncc1)c1cc(OCC2CO2)cc(OCC2CO2)c1,355.0203062712063,0.08163265306122448
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,COc1cc(OCC2CO2)ncc1C(=O)Nc1cc(C)cc(OCC2CO2)c1,354.2195528827037,0.08163265306122448
O=C(O)CCN(CCn1cccn1)CC(=O)O,O=C(NCC1CO1)Nc1ccc(NC(=O)C(=O)NCc2ccc(OCC3CO3)cc2)cc1,353.7927133880713,0.08163265306122448
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CCc1cccc(CN2CCc3ccc(OCC4CO4)cc3CC2)c1OCC1CO1,359.9588734407326,0.08064516129032258
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,O=C(Nc1ccc2oc(CO)cc2c1)c1ccc(OCC2CO2)cc1OCC1CO1,359.1581200522299,0.08064516129032258
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,CNC(=O)c1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,369.1227986808217,0.08
O=C(O)CCN(CCC(=O)O)C(=O)Nc1ccc(Cn2ccnc2)cn1,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,359.9588734407326,0.08
Cc1ccncc1CCCNc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,NC(=O)NCCCCCC(=O)N(CC1CO1)CC1CO1,359.5788140928624,0.08
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,CC(=O)CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,358.89775237747716,0.08
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,CC(=O)N1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1,358.82536313323413,0.08
O=C(O)CCC(CCC(=O)O)C(=O)OC1CCN(c2ncccn2)CC1,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,352.5046092907835,0.08
